学号,1.1 等腰三角形_作业等级,1.1 等腰三角形_课堂任务单,1.1 等腰三角形_改错情况,1.2 直角三角形_作业等级,1.2 直角三角形_课堂任务单,1.2 直角三角形_改错情况,1.3 线段的垂直平分线_作业等级,1.3 线段的垂直平分线_课堂任务单,1.3 线段的垂直平分线_改错情况,1.4 角平分线_作业等级,1.4 角平分线_课堂任务单,1.4 角平分线_改错情况,第一章 三角形的证明_单元检测成绩,2.1 不等关系_作业等级,2.1 不等关系_课堂任务单,2.1 不等关系_改错情况,2.2 不等式的基本性质_作业等级,2.2 不等式的基本性质_课堂任务单,2.2 不等式的基本性质_改错情况,2.3 不等式的解集_作业等级,2.3 不等式的解集_课堂任务单,2.3 不等式的解集_改错情况,2.4 一元一次不等式_作业等级,2.4 一元一次不等式_课堂任务单,2.4 一元一次不等式_改错情况,2.5 一元一次不等式与一次函数_作业等级,2.5 一元一次不等式与一次函数_课堂任务单,2.5 一元一次不等式与一次函数_改错情况,2.6 一元一次不等式组_作业等级,2.6 一元一次不等式组_课堂任务单,2.6 一元一次不等式组_改错情况,第二章 一元一次不等式与一元一次不等式组_单元检测成绩,3.1 图形的平移_作业等级,3.1 图形的平移_课堂任务单,3.1 图形的平移_改错情况,3.2 图形的旋转_作业等级,3.2 图形的旋转_课堂任务单,3.2 图形的旋转_改错情况,3.3 中心对称_作业等级,3.3 中心对称_课堂任务单,3.3 中心对称_改错情况,第三章 图形的平移与旋转_单元检测成绩,4.1 因式分解_作业等级,4.1 因式分解_课堂任务单,4.1 因式分解_改错情况,4.2 提公因式法_作业等级,4.2 提公因式法_课堂任务单,4.2 提公因式法_改错情况,4.3 公式法_作业等级,4.3 公式法_课堂任务单,4.3 公式法_改错情况,第四章 因式分解_单元检测成绩,5.1 认识分式_作业等级,5.1 认识分式_课堂任务单,5.1 认识分式_改错情况,5.2 分式的乘除法_作业等级,5.2 分式的乘除法_课堂任务单,5.2 分式的乘除法_改错情况,5.3 分式的加减法_作业等级,5.3 分式的加减法_课堂任务单,5.3 分式的加减法_改错情况,5.4 分式方程_作业等级,5.4 分式方程_课堂任务单,5.4 分式方程_改错情况,第五章 分式与分式方程_单元检测成绩,6.1 平行四边形的性质_作业等级,6.1 平行四边形的性质_课堂任务单,6.1 平行四边形的性质_改错情况,6.2 平行四边形的判定_作业等级,6.2 平行四边形的判定_课堂任务单,6.2 平行四边形的判定_改错情况,6.3 三角形的中位线_作业等级,6.3 三角形的中位线_课堂任务单,6.3 三角形的中位线_改错情况,6.4 多边形的内角和与外角和_作业等级,6.4 多边形的内角和与外角和_课堂任务单,6.4 多边形的内角和与外角和_改错情况,第六章 平行四边形_单元检测成绩
01,A-,良好,合格,B,良好,良好,B+,良好,合格,B+,良好,良好,102,B-,良好,良好,B,合格,合格,B-,合格,良好,B,良好,合格,B-,良好,良好,B,良好,合格,109,B,良好,良好,A-,合格,良好,A-,良好,合格,102,B-,合格,合格,A-,良好,合格,A-,合格,良好,109,B,合格,合格,B,合格,良好,B,合格,良好,B,合格,合格,126,B+,合格,合格,B+,合格,合格,B,合格,合格,B,良好,合格,123
02,B-,不合格,未改错,未交,未交,合格,B-,未交,未改错,B-,未交,未改错,90,A,不合格,未改错,B-,不合格,未改错,未交,不合格,合格,C,不合格,未改错,C,未交,合格,未交,未交,未改错,81,B-,合格,未改错,未交,不合格,合格,B-,不合格,合格,83,C,未交,未改错,未交,不合格,合格,B-,未交,合格,60,C,合格,未改错,B-,不合格,合格,B-,合格,合格,未交,未交,未改错,92,C,不合格,未改错,B-,不合格,合格,未交,未交,合格,未交,合格,未改错,94
03,B-,合格,合格,未交,合格,未改错,B-,不合格,未改错,B-,未交,未改错,75,未交,未交,合格,未交,未交,未改错,B-,未交,合格,B-,未交,合格,C,合格,未改错,未交,不合格,合格,91,未交,合格,未改错,C,不合格,未改错,A,合格,合格,82,未交,不合格,未改错,B-,合格,合格,未交,未交,未改错,97,未交,合格,未改错,未交,合格,合格,B-,不合格,合格,A,合格,未改错,81,未交,不合格,合格,C,未交,未改错,C,未交,合格,未交,不合格,未改错,62
04,未交,合格,未改错,B-,未交,合格,未交,合格,未改错,未交,未交,未改错,99,C,不合格,未改错,C,合格,合格,未交,合格,合格,未交,合格,未改错,未交,不合格,合格,B-,不合格,未改错,72,未交,合格,未改错,未交,合格,合格,B-,合格,合格,78,A,合格,合格,C,不合格,合格,B-,不合格,未改错,66,B-,未交,未改错,A,未交,合格,未交,不合格,未改错,B-,不合格,未改错,62,C,未交,合格,C,合格,未改错,C,未交,未改错,未交,未交,未改错,90
05,B-,合格,合格,C,不合格,合格,未交,不合格,未改错,未交,合格,未改错,68,B-,未交,未改错,B-,不合格,合格,C,未交,未改错,未交,不合格,未改错,C,不合格,未改错,未交,合格,合格,66,B-,不合格,未改错,C,未交,未改错,A,不合格,合格,72,未交,未交,未改错,C,未交,未改错,C,不合格,未改错,78,C,不合格,未改错,未交,未交,未改错,A,未交,合格,B-,合格,未改错,60,C,不合格,合格,B-,不合格,合格,B-,不合格,合格,B-,不合格,合格,69
06,A-,良好,合格,A-,良好,合格,B+,合格,良好,B-,合格,良好,124,A-,合格,良好,B,合格,良好,B+,良好,良好,A-,合格,良好,B-,合格,良好,B,合格,合格,125,A-,良好,良好,B-,合格,合格,B-,良好,合格,104,B-,合格,良好,B+,良好,良好,A-,良好,合格,113,B,良好,合格,B,良好,良好,,,,B+,合格,良好,116,B-,合格,合格,B,良好,合格,A-,合格,合格,B,良好,合格,102
07,A-,合格,良好,B-,良好,合格,B,良好,合格,B+,合格,良好,106,B+,良好,合格,B,良好,良好,B-,良好,良好,B+,合格,良好,,,,B,良好,合格,109,B+,良好,良好,B+,良好,良好,A-,合格,良好,109,A-,良好,良好,B+,合格,合格,A-,合格,合格,122,B+,良好,合格,B-,合格,合格,A-,合格,良好,B,良好,合格,127,B+,良好,良好,B+,合格,合格,B+,合格,良好,A-,良好,良好,106
08,A+,优秀,优秀,A+,优秀,优秀,A,优秀,良好,A+,优秀,良好,146,A-,良好,优秀,A+,优秀,优秀,A+,良好,良好,A+,良好,优秀,A+,良好,良好,A+,优秀,良好,130,A,优秀,良好,A,良好,优秀,A+,良好,优秀,139,A,良好,优秀,A+,良好,良好,A-,良好,良好,142,A+,优秀,优秀,A+,良好,良好,A-,优秀,优秀,A,优秀,优秀,136,C,良好,良好,A+,良好,良好,A+,良好,优秀,A+,优秀,良好,146
09,A-,优秀,优秀,A-,良好,优秀,A-,优秀,优秀,A-,良好,良好,143,C,良好,良好,A-,优秀,良好,A-,良好,优秀,A,优秀,良好,A-,良好,优秀,A+,良好,良好,137,A-,优秀,良好,A-,良好,优秀,A-,良好,优秀,150,A-,优秀,良好,A-,良好,优秀,A+,优秀,良好,132,A-,优秀,良好,,,,A-,优秀,优秀,A-,良好,优秀,149,A-,良好,良好,,,,A-,良好,优秀,C,良好,优秀,140
10,A+,优秀,优秀,A-,优秀,良好,A+,良好,良好,A,良好,良好,139,A-,优秀,优秀,A-,优秀,优秀,A,良好,优秀,A-,良好,良好,A-,良好,良好,A+,良好,良好,141,A,良好,优秀,A+,优秀,优秀,A-,优秀,良好,148,A,优秀,优秀,A+,优秀,良好,A-,优秀,良好,150,A,优秀,良好,A+,优秀,良好,A,优秀,优秀,A,优秀,良好,142,A+,优秀,良好,A,良好,良好,A+,优秀,良好,A-,良好,优秀,132
